Resistance (ohms),Temperature (K)
76.3,213.1744
76.4,213.4271
76.5,213.6799
76.6,213.9326
76.7,214.1853
76.8,214.4381
76.9,214.6908
77.0,214.9436
77.1,215.1963
77.2,215.449
77.3,215.7018
77.4,215.9545
77.5,216.2072
77.6,216.46
77.7,216.7127
77.8,216.9655
77.9,217.2182
78.0,217.4709
78.1,217.7237
78.2,217.9764
78.3,218.2291
78.4,218.4819
78.5,218.7346
78.6,218.9874
78.7,219.2401
78.8,219.4928
78.9,219.7456
79.0,219.9983
79.1,220.2511
79.2,220.5038
79.3,220.7565
79.4,221.0093
79.5,221.262
79.6,221.5147
79.7,221.7675
79.8,222.0202
79.9,222.273
80.0,222.5257
80.1,222.7784
80.2,223.0312
80.3,223.2839
80.4,223.5366
80.5,223.7894
80.6,224.0421
80.7,224.2949
80.8,224.5476
80.9,224.8003
81.0,225.0531
81.1,225.3058
81.2,225.5586
81.3,225.8113
81.4,226.064
81.5,226.3168
81.6,226.5695
81.7,226.8222
81.8,227.075
81.9,227.3277
82.0,227.5805
82.1,227.8332
82.2,228.0859
82.3,228.3387
82.4,228.5914
82.5,228.8441
82.6,229.0969
82.7,229.3496
82.8,229.6024
82.9,229.8551
83.0,230.1078
83.1,230.3606
83.2,230.6133
83.3,230.866
83.4,231.1188
83.5,231.3715
83.6,231.6243
83.7,231.877
83.8,232.1297
83.9,232.3825
84.0,232.6352
84.1,232.888
84.2,233.1407
84.3,233.3934
84.4,233.6462
84.5,233.8989
84.6,234.1516
84.7,234.4044
84.8,234.6571
84.9,234.9099
85.0,235.1626
85.1,235.4153
85.2,235.6681
85.3,235.9208
85.4,236.1735
85.5,236.4263
85.6,236.679
85.7,236.9318
85.8,237.1845
85.9,237.4372
86.0,237.69
86.1,237.9427
86.2,238.1955
86.3,238.4482
86.4,238.7009
86.5,238.9537
86.6,239.2064
86.7,239.4591
86.8,239.7119
86.9,239.9646
87.0,240.2174
87.1,240.4701
87.2,240.7228
87.3,240.9756
87.4,241.2283
87.5,241.481
87.6,241.7338
87.7,241.9865
87.8,242.2393
87.9,242.492
88.0,242.7447
88.1,242.9975
88.2,243.2502
88.3,243.5029
88.4,243.7557
88.5,244.0084
88.6,244.2612
88.7,244.5139
88.8,244.7666
88.9,245.0194
89.0,245.2721
89.1,245.5249
89.2,245.7776
89.3,246.0303
89.4,246.2831
89.5,246.5358
89.6,246.7885
89.7,247.0413
89.8,247.294
89.9,247.5468
90.0,247.7995
90.1,248.0522
90.2,248.305
90.3,248.5577
90.4,248.8104
90.5,249.0632
90.6,249.3159
90.7,249.5687
90.8,249.8214
90.9,250.0741
91.0,250.3269
91.1,250.5796
91.2,250.8324
91.3,251.0851
91.4,251.3378
91.5,251.5906
91.6,251.8433
91.7,252.096
91.8,252.3488
91.9,252.6015
92.0,252.8543
92.1,253.107
92.2,253.3597
92.3,253.6125
92.4,253.8652
92.5,254.1179
92.6,254.3707
92.7,254.6234
92.8,254.8762
92.9,255.1289
93.0,255.3816
93.1,255.6344
93.2,255.8871
93.3,256.1398
93.4,256.3926
93.5,256.6453
93.6,256.8981
93.7,257.1508
93.8,257.4035
93.9,257.6563
94.0,257.909
94.1,258.1618
94.2,258.4145
94.3,258.6672
94.4,258.92
94.5,259.1727
94.6,259.4254
94.7,259.6782
94.8,259.9309
94.9,260.1837
95.0,260.4364
95.1,260.6891
95.2,260.9419
95.3,261.1946
95.4,261.4473
95.5,261.7001
95.6,261.9528
95.7,262.2056
95.8,262.4583
95.9,262.711
96.0,262.9638
96.1,263.2165
96.2,263.4693
96.3,263.722
96.4,263.9747
96.5,264.2275
96.6,264.4802
96.7,264.7329
96.8,264.9857
96.9,265.2384
97.0,265.4912
97.1,265.7439
97.2,265.9966
97.3,266.2494
97.4,266.5021
97.5,266.7548
97.6,267.0076
97.7,267.2603
97.8,267.5131
97.9,267.7658
98.0,268.0185
98.1,268.2713
98.2,268.524
98.3,268.7767
98.4,269.0295
98.5,269.2822
98.6,269.535
98.7,269.7877
98.8,270.0412
98.9,270.2985
99.0,270.5559
99.1,270.8132
99.2,271.0706
99.3,271.3279
99.4,271.5853
99.5,271.8426
99.6,272.1
99.7,272.3573
99.8,272.6147
99.9,272.872
100.0,273.1294
100.1,273.3867
100.2,273.6441
100.3,273.9014
100.4,274.1588
100.5,274.4161
100.6,274.6735
100.7,274.9308
100.8,275.1882
100.9,275.4455
101.0,275.7028
101.1,275.9602
101.2,276.2175
101.3,276.4749
101.4,276.7322
101.5,276.9896
101.6,277.2469
101.7,277.5043
101.8,277.7616
101.9,278.019
102.0,278.2763
102.1,278.5337
102.2,278.791
102.3,279.0484
102.4,279.3057
102.5,279.5631
102.6,279.8204
102.7,280.0778
102.8,280.3351
102.9,280.5925
103.0,280.8498
103.1,281.1072
103.2,281.3645
103.3,281.6219
103.4,281.8792
103.5,282.1366
103.6,282.3939
103.7,282.6513
103.8,282.9086
103.9,283.166
104.0,283.4233
104.1,283.6807
104.2,283.938
104.3,284.1954
104.4,284.4527
104.5,284.7101
104.6,284.9674
104.7,285.2248
104.8,285.4821
104.9,285.7394
105.0,285.9968
105.1,286.2541
105.2,286.5115
105.3,286.7688
105.4,287.0262
105.5,287.2835
105.6,287.5409
105.7,287.7982
105.8,288.0556
105.9,288.3129
106.0,288.5703
106.1,288.8276
106.2,289.085
106.3,289.3423
106.4,289.5997
106.5,289.857
106.6,290.1144
106.7,290.3717
106.8,290.6291
106.9,290.8864
107.0,291.1438
107.1,291.4011
107.2,291.6585
107.3,291.9158
107.4,292.1732
107.5,292.4305
107.6,292.6879
107.7,292.9452
107.8,293.2026
107.9,293.4599
108.0,293.7173
108.1,293.9746
108.2,294.232
108.3,294.4893
108.4,294.7467
108.5,295.004
108.6,295.2614
108.7,295.5187
108.8,295.776
108.9,296.0334
109.0,296.2907
109.1,296.5481
109.2,296.8054
109.3,297.0628
109.4,297.3201
109.5,297.5775
109.6,297.8348
109.7,298.0922
109.8,298.3495
109.9,298.6069
110.0,298.8642
110.1,299.1216
110.2,299.3789
110.3,299.6363
110.4,299.8936
110.5,300.151
110.6,300.4083
110.7,300.6657
110.8,300.923
110.9,301.1804
111.0,301.4377
111.1,301.6951
111.2,301.9524
111.3,302.2098
111.4,302.4671
111.5,302.7245
111.6,302.9818
111.7,303.2392
111.8,303.4965
111.9,303.7539
112.0,304.0112
112.1,304.2686
112.2,304.5259
112.3,304.7833
112.4,305.0406
112.5,305.298
112.6,305.5553
112.7,305.8127
112.8,306.07
112.9,306.3273
113.0,306.5847
113.1,306.842
113.2,307.0994
113.3,307.3567
113.4,307.6141
113.5,307.8714
113.6,308.1288
113.7,308.3861
113.8,308.6435
113.9,308.9008
114.0,309.1582
114.1,309.4155
114.2,309.6729
114.3,309.9302
114.4,310.1876
114.5,310.4449
114.6,310.7023
114.7,310.9596
114.8,311.217
114.9,311.4743
115.0,311.7317
115.1,311.989
115.2,312.2464
115.3,312.5037
115.4,312.7611
115.5,313.0184
115.6,313.2758
115.7,313.5331
115.8,313.7905
115.9,314.0478
116.0,314.3052
116.1,314.5625
116.2,314.8199
116.3,315.0782
116.4,315.3389
116.5,315.5995
116.6,315.8602
116.7,316.1208
116.8,316.3815
116.9,316.6421
117.0,316.9028
117.1,317.1634
117.2,317.4241
117.3,317.6847
117.4,317.9454
117.5,318.206
117.6,318.4667
117.7,318.7274
117.8,318.988
117.9,319.2487
118.0,319.5093
118.1,319.77
118.2,320.0306
118.3,320.2913
118.4,320.5519
118.5,320.8126
118.6,321.0732
118.7,321.3339
118.8,321.5946
118.9,321.8552
119.0,322.1159
119.1,322.3765
119.2,322.6372
119.3,322.8978
119.4,323.1585
119.5,323.4191
119.6,323.6798
119.7,323.9404
119.8,324.2011
119.9,324.4617
120.0,324.7224
120.1,324.9831
120.2,325.2437
120.3,325.5044
120.4,325.765
120.5,326.0257
120.6,326.2863
120.7,326.547
120.8,326.8076
120.9,327.0683
121.0,327.3289
121.1,327.5896
121.2,327.8503
121.3,328.1109
