,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
200,000.0000,001.6882,003.3837,005.0865,006.7966,008.5140,010.2388,011.9709,013.7104,015.4573,017.2116,018.9733,020.7425,022.5191,024.3031,026.0946,027.8936,029.7000,031.5138,033.3351,035.1639
201,000.0000,001.6798,003.3666,005.0606,006.7617,008.4699,010.1853,011.9079,013.6376,015.3746,017.1188,018.8702,020.6288,022.3946,024.1677,025.9481,027.7357,029.5305,031.3326,033.1419,034.9584
202,000.0000,001.6714,003.3497,005.0349,006.7271,008.4263,010.1324,011.8455,013.5657,015.2928,017.0270,018.7682,020.5164,022.2717,024.0340,025.8033,027.5797,029.3632,031.1536,032.9511,034.7556
203,000.0000,001.6631,003.3329,005.0095,006.6929,008.3831,010.0801,011.7839,013.4945,015.2119,016.9362,018.6674,020.4053,022.1502,023.9018,025.6604,027.4257,029.1979,030.9770,032.7628,034.5555
204,000.0000,001.6549,003.3163,004.9844,006.6591,008.3404,010.0283,011.7229,013.4241,015.1320,016.8465,018.5677,020.2956,022.0301,023.7713,025.5191,027.2736,029.0347,030.8025,032.5769,034.3579
205,000.0000,001.6467,003.2999,004.9595,006.6256,008.2981,009.9771,011.6625,013.3545,015.0529,016.7578,018.4692,020.1871,021.9114,023.6422,025.3796,027.1233,028.8736,030.6302,032.3934,034.1629
206,000.0000,001.6387,003.2836,004.9349,006.5924,008.2563,009.9264,011.6029,013.2856,014.9747,016.6701,018.3718,020.0798,021.7941,023.5147,025.2417,026.9749,028.7144,030.4601,032.2121,033.9703
207,000.0000,001.6307,003.2675,004.9105,006.5596,008.2149,009.8763,011.5438,013.2175,014.8973,016.5833,018.2755,019.9738,021.6782,023.3887,025.1054,026.8282,028.5571,030.2921,032.0331,033.7802
208,000.0000,001.6228,003.2516,004.8864,006.5271,008.1739,009.8266,011.4854,013.1501,014.8208,016.4975,018.1802,019.8689,021.5636,023.2642,024.9708,026.6833,028.4017,030.1261,031.8563,033.5924
209,000.0000,001.6150,003.2358,004.8625,006.4950,008.1333,009.7775,011.4276,013.0834,014.7451,016.4127,018.0861,019.7653,021.4503,023.1411,024.8377,026.5400,028.2482,029.9621,031.6817,033.4070
210,000.0000,001.6072,003.2202,004.8388,006.4632,008.0932,009.7289,011.3703,013.0175,014.6703,016.3288,017.9929,019.6627,021.3382,023.0194,024.7061,026.3985,028.0965,029.8000,031.5092,033.2238
211,000.0000,001.5996,003.2047,004.8154,006.4316,008.0535,009.6808,011.3137,012.9522,014.5962,016.2457,017.9008,019.5614,021.2275,022.8990,024.5761,026.2586,027.9465,029.6399,031.3387,033.0429
212,000.0000,001.5920,003.1894,004.7922,006.4004,008.0141,009.6332,011.2577,012.8876,014.5229,016.1636,017.8097,019.4611,021.1179,022.7801,024.4475,026.1203,027.7984,029.4817,031.1703,032.8642
213,000.0000,001.5844,003.1742,004.7692,006.3696,007.9752,009.5861,011.2022,012.8237,014.4504,016.0823,017.7195,019.3619,021.0096,022.6624,024.3204,025.9836,027.6519,029.3254,031.0039,032.6876
214,000.0000,001.5770,003.1592,004.7465,006.3390,007.9366,009.5394,011.1474,012.7604,014.3786,016.0019,017.6304,019.2639,020.9024,022.5461,024.1947,025.8484,027.5072,029.1708,030.8395,032.5131
215,000.0000,001.5696,003.1443,004.7240,006.3087,007.8985,009.4932,011.0930,012.6978,014.3076,015.9224,017.5421,019.1668,020.7965,022.4310,024.0705,025.7148,027.3640,029.0181,030.6770,032.3406
216,000.0000,001.5623,003.1295,004.7016,006.2787,007.8607,009.4475,011.0393,012.6359,014.2373,015.8437,017.4548,019.0708,020.6916,022.3172,023.9476,025.5827,027.2225,028.8671,030.5163,032.1702
217,000.0000,001.5550,003.1149,004.6796,006.2490,007.8232,009.4022,010.9860,012.5745,014.1678,015.7658,017.3685,018.9759,020.5879,022.2047,023.8260,025.4520,027.0826,028.7178,030.3575,032.0018
218,000.0000,001.5479,003.1004,004.6577,006.2196,007.7862,009.3574,010.9333,012.5138,014.0989,015.6887,017.2830,018.8819,020.4854,022.0933,023.7058,025.3228,026.9443,028.5702,030.2005,031.8353
219,000.0000,001.5408,003.0861,004.6360,006.1905,007.7495,009.3130,010.8811,012.4537,014.0308,015.6124,017.1984,018.7889,020.3839,021.9832,023.5869,025.1950,026.8075,028.4243,030.0453,031.6707
220,000.0000,001.5337,003.0719,004.6145,006.1616,007.7131,009.2691,010.8294,012.3942,013.9634,015.5369,017.1147,018.6969,020.2834,021.8742,023.4693,025.0686,026.6722,028.2800,029.8919,031.5080
221,000.0000,001.5267,003.0578,004.5932,006.1330,007.6771,009.2256,010.7783,012.3353,013.8966,015.4621,017.0319,018.6059,020.1841,021.7664,023.3530,024.9436,026.5384,028.1372,029.7401,031.3471
222,000.0000,001.5198,003.0439,004.5722,006.1047,007.6415,009.1824,010.7276,012.2770,013.8305,015.3881,016.9499,018.5158,020.0857,021.6598,023.2378,024.8199,026.4060,027.9961,029.5901,031.1880
223,000.0000,001.5129,003.0300,004.5513,006.0767,007.6062,009.1398,010.6774,012.2192,013.7650,015.3149,016.8687,018.4266,019.9884,021.5542,023.1239,024.6976,026.2751,027.8565,029.4417,031.0307
